stt,trang_danh_muc,ten_san_pham,ma_san_pham,loai_tu_tu_ten,ma_ky_hieu_tu_ten,dien_dung_tu_ten,dien_ap_tu_ten,kich_thuoc_tu_ten,ma_kich_thuoc_chip_tu_ten,dung_sai_tu_ten,kieu_lap_dat_tu_ten,dong_goi_so_luong_tu_ten,ung_dung_tu_ten,hang_nhac_toi_tu_ten,mau_sac_tu_ten,gia_chua_vat_text,gia_chua_vat_vnd,gia_vat_text,gia_vat_vnd,tinh_trang,don_vi_tinh,thuong_hieu,xuat_xu,vi_tri_kho,danh_muc_1,danh_muc_2,sp_group_id_tu_url,ct_product_id_tu_url,url_chi_tiet,image_url
"1","1","Tụ CBB 1600V 103J 10nF 0.01uF 15mm","NM02466","Tụ CBB","103J","10 nF | 0.01 uF","1600 V","15mm","","J","","","","","","2,000đ","2000","2,160đ","2160","Còn hàng","Chiếc","CHINA","CHINA","C-095","Linh kiện điện tử","Tụ CBB - Tụ Kẹo","459","18303","https://linhkienchatluong.vn/urltu-cbb---tu-keo/tu-cbb-1600v-103j-10nf-001uf-15mm_sp459_ct18303.aspx","https://linhkienchatluong.vn/Uploads/pic/prods/Linh-kien-dien-tu/63908402079953424102466.jpg"
"2","1","Tụ bếp từ 2uF 275VAC 400VDC màu xanh chính hãng BM","NM02950","Tụ bếp từ","","2 uF","275 VAC | 400 VDC","","","","","","Bếp từ","BM","Màu xanh","10,000đ","10000","10,800đ","10800","Còn hàng","Chiếc","BM","Chính hãng","TA-012","Linh kiện điện tử","Tụ Bếp Từ","710","18294","https://linhkienchatluong.vn/urltu-bep-tu/tu-bep-tu-2uf-275vac-400vdc-mau-xanh-chinh-hang-bm_sp710_ct18294.aspx","https://linhkienchatluong.vn/Uploads/pic/prods/Linh-kien-dien-tu/63908402479962322402950.jpg"
"3","1","Tụ block điều hòa 40uF 450V CBB65 GREE","CL11992","","CBB65","40 uF","450 V","","","","","","Điều hòa | Block","","","38,000đ","38000","đ","","Còn hàng","Chiếc","CHINA","CHINA","1","Linh kiện điện tử","Tụ đề - Tụ khởi động","992","18151","https://linhkienchatluong.vn/urltu-de---tu-khoi-dong/tu-block-dieu-hoa-40uf-450v-cbb65-gree_sp992_ct18151.aspx","https://linhkienchatluong.vn/Uploads/pic/prods/Linh-kien-dien-tu/63902170958610231611992.jpg"
"4","1","Tụ CBB 2000V 334J 330nF 0.33uF 27.5mm","NM00645","Tụ CBB","334J","330 nF | 0.33 uF","2000 V","27.5mm","","J","","","","","","10,500đ","10500","11,340đ","11340","Còn hàng","Chiếc","CHINA","CHINA","C-095","Linh kiện điện tử","Tụ CBB - Tụ Kẹo","459","18057","https://linhkienchatluong.vn/urltu-cbb---tu-keo/tu-cbb-2000v-334j-330nf-033uf-275mm_sp459_ct18057.aspx","https://linhkienchatluong.vn/Uploads/pic/prods/Linh-kien-dien-tu/63893195047216236600645.jpg"
"5","1","Tụ chống sét Varistor 10D201K 200V 10mm bảo vệ điện áp 110V chính hãng HEL","CL11900","Tụ chống sét varistor","","","200 V | 110 V","10mm","","","","","Chống sét | Bảo vệ điện áp","HEL","","1,000đ","1000","đ","","","Chiếc","CHINA","CHINA","C-116","Linh kiện điện tử","10D - đường kính 10mm","1922","17897","https://linhkienchatluong.vn/url10d---duong-kinh-10mm/tu-chong-set-varistor-10d201k-200v-10mm-bao-ve-dien-ap-110v-chinh-hang-hel_sp1922_ct17897.aspx","https://linhkienchatluong.vn/Uploads/pic/prods/Linh-kien-dien-tu/63892678886862837811900.jpg"
"6","1","Tụ cao áp 2KV222 2.2nF 2000V DEDEMEI đóng dây (10 chiếc)","NM02165","Tụ cao áp","","2.2 nF","2000 V","","","","Dạng dây","10 chiếc","","","","5,000đ","5000","5,400đ","5400","Còn hàng","Dây (10 chiếc)","Đang cập nhật","Đang cập nhật","C-121","Linh kiện điện tử","Tụ Cao Áp","638","17770","https://linhkienchatluong.vn/urltu-cao-ap/tu-cao-ap-2kv222-22nf-2000v-dedemei-dong-day-10-chiec_sp638_ct17770.aspx","https://linhkienchatluong.vn/Uploads/pic/prods/Linh-kien-dien-tu/63880660794870733911287.jpg"
"7","1","Tụ chống sét Varistor V10221U chính hãng Panasonic (bảo vệ điện 110V)","NM01186","Tụ chống sét varistor","V10221U","","110 V","","","","","","Chống sét","Panasonic","","4,000đ","4000","4,320đ","4320","","Chiếc","PANASONIC","Chính hãng","1","Linh kiện điện tử","Tụ chống sét - Varistor","1161","17266","https://linhkienchatluong.vn/urltu-chong-set---varistor/tu-chong-set-varistor-v10221u-chinh-hang-panasonic-bao-ve-dien-110v_sp1161_ct17266.aspx","https://linhkienchatluong.vn/Uploads/pic/prods/Linh-kien-dien-tu/63877373806259416511411.jpg"
"8","1","Tụ nhôm 16V 2200uF 10x13mm chân cắm DIP","CL11217","Tụ nhôm","","2200 uF","16 V","10x13mm","","","Chân cắm | DIP","","","","","5,800đ","5800","đ","","","Chiếc","RELON-CHINA","CHINA","C-067","Linh kiện điện tử","Tụ nhôm - Tụ hóa dán","1612","17075","https://linhkienchatluong.vn/urltu-nhom---tu-hoa-dan/tu-nhom-16v-2200uf-10x13mm-chan-cam-dip_sp1612_ct17075.aspx","https://linhkienchatluong.vn/Uploads/pic/prods/Linh-kien-dien-tu/63870115633585663111217.jpg"
"9","1","Tụ nhôm 16V 1500uF 10x13mm chân cắm DIP","CL11216","Tụ nhôm","","1500 uF","16 V","10x13mm","","","Chân cắm | DIP","","","","","3,200đ","3200","đ","","","Chiếc","RELON-CHINA","CHINA","C-067","Linh kiện điện tử","Tụ nhôm - Tụ hóa dán","1612","17074","https://linhkienchatluong.vn/urltu-nhom---tu-hoa-dan/tu-nhom-16v-1500uf-10x13mm-chan-cam-dip_sp1612_ct17074.aspx","https://linhkienchatluong.vn/Uploads/pic/prods/Linh-kien-dien-tu/63870115607044246211216.jpg"
"10","1","Tụ nhôm 16V 1000uF 8x12mm chân cắm DIP","NM00633","Tụ nhôm","","1000 uF","16 V","8x12mm","","","Chân cắm | DIP","","","","","2,800đ","2800","3,024đ","3024","Còn hàng","Chiếc","RELON-CHINA","CHINA","C-067","Linh kiện điện tử","Tụ nhôm - Tụ hóa dán","1612","17073","https://linhkienchatluong.vn/urltu-nhom---tu-hoa-dan/tu-nhom-16v-1000uf-8x12mm-chan-cam-dip_sp1612_ct17073.aspx","https://linhkienchatluong.vn/Uploads/pic/prods/Linh-kien-dien-tu/63870115581789049311215.jpg"
"11","1","Tụ nhôm 16V 680uF 6.3x12mm chân cắm DIP","CL11214","Tụ nhôm","","680 uF","16 V","6.3x12mm","","","Chân cắm | DIP","","","","","2,400đ","2400","đ","","","Chiếc","RELON-CHINA","CHINA","-","Linh kiện điện tử","Tụ nhôm - Tụ hóa dán","1612","17072","https://linhkienchatluong.vn/urltu-nhom---tu-hoa-dan/tu-nhom-16v-680uf-63x12mm-chan-cam-dip_sp1612_ct17072.aspx","https://linhkienchatluong.vn/Uploads/pic/prods/Linh-kien-dien-tu/63870115557243957911214.jpg"
"12","1","Tụ nhôm 16V 470uF 8x9mm chân cắm DIP","CL11213","Tụ nhôm","","470 uF","16 V","8x9mm","","","Chân cắm | DIP","","","","","2,200đ","2200","đ","","","Chiếc","RELON-CHINA","CHINA","-","Linh kiện điện tử","Tụ nhôm - Tụ hóa dán","1612","17071","https://linhkienchatluong.vn/urltu-nhom---tu-hoa-dan/tu-nhom-16v-470uf-8x9mm-chan-cam-dip_sp1612_ct17071.aspx","https://linhkienchatluong.vn/Uploads/pic/prods/Linh-kien-dien-tu/63870115292605904811213.jpg"
"13","1","Tụ nhôm 16V 330uF 6.3x9mm chân cắm DIP","CL11212","Tụ nhôm","","330 uF","16 V","6.3x9mm","","","Chân cắm | DIP","","","","","1,800đ","1800","đ","","","Chiếc","RELON-CHINA","CHINA","-","Linh kiện điện tử","Tụ nhôm - Tụ hóa dán","1612","17070","https://linhkienchatluong.vn/urltu-nhom---tu-hoa-dan/tu-nhom-16v-330uf-63x9mm-chan-cam-dip_sp1612_ct17070.aspx","https://linhkienchatluong.vn/Uploads/pic/prods/Linh-kien-dien-tu/63870115233966177211212.jpg"
"14","1","Tụ nhôm 16V 220uF 6.3x9mm chân cắm DIP","CL11211","Tụ nhôm","","220 uF","16 V","6.3x9mm","","","Chân cắm | DIP","","","","","1,700đ","1700","đ","","","Chiếc","RELON-CHINA","CHINA","C-066","Linh kiện điện tử","Tụ nhôm - Tụ hóa dán","1612","17069","https://linhkienchatluong.vn/urltu-nhom---tu-hoa-dan/tu-nhom-16v-220uf-63x9mm-chan-cam-dip_sp1612_ct17069.aspx","https://linhkienchatluong.vn/Uploads/pic/prods/Linh-kien-dien-tu/63870115208133329911211.jpg"
"15","1","Tụ nhôm 16V 100uF 5x9mm chân cắm DIP","CL11210","Tụ nhôm","","100 uF","16 V","5x9mm","","","Chân cắm | DIP","","","","","1,400đ","1400","đ","","","Chiếc","RELON-CHINA","CHINA","C-066","Linh kiện điện tử","Tụ nhôm - Tụ hóa dán","1612","17068","https://linhkienchatluong.vn/urltu-nhom---tu-hoa-dan/tu-nhom-16v-100uf-5x9mm-chan-cam-dip_sp1612_ct17068.aspx","https://linhkienchatluong.vn/Uploads/pic/prods/Linh-kien-dien-tu/63870115170228688711210.jpg"
"16","1","Tụ chống sét Varistor 14D201K 200V 14mm loại thường (100c)","CL11141","Tụ chống sét varistor","","","200 V","14mm","","","","100c","Chống sét","","","125,000đ","125000","đ","","","Túi (100 chiếc)","CHINA","CHINA","C-129","Linh kiện điện tử","14D - đường kính 14mm","1924","17002","https://linhkienchatluong.vn/url14d---duong-kinh-14mm/tu-chong-set-varistor-14d201k-200v-14mm-loai-thuong-100c_sp1924_ct17002.aspx","https://linhkienchatluong.vn/china_h1257.aspx"
"17","1","Tụ dán 0805 226-22uF 25V 20% (10c)","CL11080","Tụ dán","226","22 uF","25 V","","0805","","SMD/Dán","10c","","","","5,000đ","5000","đ","","","Dây","Đang cập nhật","Đang cập nhật","KE2-481","Linh kiện điện tử","Tụ dán 0805","1608","16943","https://linhkienchatluong.vn/urltu-dan-0805/tu-dan-0805-226-22uf-25v-20-10c_sp1608_ct16943.aspx","https://linhkienchatluong.vn/Uploads/pic/prods/Linh-kien-dien-tu/63865452906956132011080.jpg"
"18","1","Tụ điều hòa Daikin 20uF 450VDC 35mm chính hãng EKOWEISS","CL11073","","","20 uF","450 VDC","35mm","","","","","Điều hòa","EKOWEISS","","58,000đ","58000","đ","","Ngừng bán","Chiếc","EKOWEISS","Chính hãng","TA-016A","Linh kiện điện tử","Tụ đề - Tụ khởi động","992","16928","https://linhkienchatluong.vn/urltu-de---tu-khoi-dong/tu-dieu-hoa-daikin-20uf-450vdc-35mm-chinh-hang-ekoweiss_sp992_ct16928.aspx","https://linhkienchatluong.vn/Uploads/pic/prods/Linh-kien-dien-tu/638636319611698004z5894483909928_e9708df02344534b1b416244793c4254.jpg"
"19","1","Tụ chống sét Varistor 14D471K 470V 14mm chính hãng HEL","CL11047","Tụ chống sét varistor","","","470 V","14mm","","","","","Chống sét","HEL","","2,200đ","2200","đ","","","Chiếc","HEL","Chính hãng","C-119","Linh kiện điện tử","14D - đường kính 14mm","1924","16911","https://linhkienchatluong.vn/url14d---duong-kinh-14mm/tu-chong-set-varistor-14d471k-470v-14mm-chinh-hang-hel_sp1924_ct16911.aspx","https://linhkienchatluong.vn/Uploads/pic/prods/Linh-kien-dien-tu/638635624710355529z5892349007423_c06b1a37fda84fd73cc6518742bf3fdb.jpg"
"20","1","Tụ quạt 25uF dây SENJU CBB61 loại tốt","CL10993","Tụ quạt","CBB61","25 uF","","","","","Dạng dây","","Quạt","SENJU","","47,000đ","47000","đ","","","Chiếc","SENJU","Chính hãng","TA-007B","Linh kiện điện tử","Tụ đề - Tụ khởi động","992","16844","https://linhkienchatluong.vn/urltu-de---tu-khoi-dong/tu-quat-25uf-day-senju-cbb61-loai-tot_sp992_ct16844.aspx","https://linhkienchatluong.vn/Uploads/pic/prods/Linh-kien-dien-tu/63860628766872944410993.jpg"
"21","1","Tụ quạt 20uF dây SENJU CBB61 loại tốt","CL10992","Tụ quạt","CBB61","20 uF","","","","","Dạng dây","","Quạt","SENJU","","42,000đ","42000","đ","","","Chiếc","SENJU","Chính hãng","TA-007B","Linh kiện điện tử","Tụ đề - Tụ khởi động","992","16843","https://linhkienchatluong.vn/urltu-de---tu-khoi-dong/tu-quat-20uf-day-senju-cbb61-loai-tot_sp992_ct16843.aspx","https://linhkienchatluong.vn/Uploads/pic/prods/Linh-kien-dien-tu/63860628742665253810992.jpg"
"22","1","Tụ quạt 18uF dây SENJU CBB61 loại tốt","CL10991","Tụ quạt","CBB61","18 uF","","","","","Dạng dây","","Quạt","SENJU","","38,000đ","38000","đ","","","Chiếc","SENJU","Chính hãng","TA-007V","Linh kiện điện tử","Tụ đề - Tụ khởi động","992","16842","https://linhkienchatluong.vn/urltu-de---tu-khoi-dong/tu-quat-18uf-day-senju-cbb61-loai-tot_sp992_ct16842.aspx","https://linhkienchatluong.vn/Uploads/pic/prods/Linh-kien-dien-tu/63860628714568966910991.jpg"
