ten_san_pham,gia_hien_thi,url_chi_tiet,nguon_danh_muc
"Tụ CBB 1600V 103J 10nF 0.01uF 15mm","2,000 đ","https://linhkienchatluong.vn/urltu-cbb---tu-keo/tu-cbb-1600v-103j-10nf-001uf-15mm_sp459_ct18303.aspx","https://linhkienchatluong.vn/tu-dien_s406.aspx"
"Tụ bếp từ 2uF 275VAC 400VDC màu xanh chính hãng BM","10,000 đ","https://linhkienchatluong.vn/urltu-bep-tu/tu-bep-tu-2uf-275vac-400vdc-mau-xanh-chinh-hang-bm_sp710_ct18294.aspx","https://linhkienchatluong.vn/tu-dien_s406.aspx"
"Tụ block điều hòa 40uF 450V CBB65 GREE","38,000 đ","https://linhkienchatluong.vn/urltu-de---tu-khoi-dong/tu-block-dieu-hoa-40uf-450v-cbb65-gree_sp992_ct18151.aspx","https://linhkienchatluong.vn/tu-dien_s406.aspx"
"Tụ CBB 2000V 334J 330nF 0.33uF 27.5mm","10,500 đ","https://linhkienchatluong.vn/urltu-cbb---tu-keo/tu-cbb-2000v-334j-330nf-033uf-275mm_sp459_ct18057.aspx","https://linhkienchatluong.vn/tu-dien_s406.aspx"
"Tụ chống sét Varistor 10D201K 200V 10mm bảo vệ điện áp 110V chính hãng HEL","1,000 đ","https://linhkienchatluong.vn/url10d---duong-kinh-10mm/tu-chong-set-varistor-10d201k-200v-10mm-bao-ve-dien-ap-110v-chinh-hang-hel_sp1922_ct17897.aspx","https://linhkienchatluong.vn/tu-dien_s406.aspx"
"Tụ cao áp 2KV222 2.2nF 2000V DEDEMEI đóng dây (10 chiếc)","5,000 đ","https://linhkienchatluong.vn/urltu-cao-ap/tu-cao-ap-2kv222-22nf-2000v-dedemei-dong-day-10-chiec_sp638_ct17770.aspx","https://linhkienchatluong.vn/tu-dien_s406.aspx"
"Tụ chống sét Varistor V10221U chính hãng Panasonic (bảo vệ điện 110V)","4,000 đ","https://linhkienchatluong.vn/urltu-chong-set---varistor/tu-chong-set-varistor-v10221u-chinh-hang-panasonic-bao-ve-dien-110v_sp1161_ct17266.aspx","https://linhkienchatluong.vn/tu-dien_s406.aspx"
"Tụ nhôm 16V 2200uF 10x13mm chân cắm DIP","5,800 đ","https://linhkienchatluong.vn/urltu-nhom---tu-hoa-dan/tu-nhom-16v-2200uf-10x13mm-chan-cam-dip_sp1612_ct17075.aspx","https://linhkienchatluong.vn/tu-dien_s406.aspx"
"Tụ nhôm 16V 1500uF 10x13mm chân cắm DIP","3,200 đ","https://linhkienchatluong.vn/urltu-nhom---tu-hoa-dan/tu-nhom-16v-1500uf-10x13mm-chan-cam-dip_sp1612_ct17074.aspx","https://linhkienchatluong.vn/tu-dien_s406.aspx"
"Tụ nhôm 16V 1000uF 8x12mm chân cắm DIP","2,800 đ","https://linhkienchatluong.vn/urltu-nhom---tu-hoa-dan/tu-nhom-16v-1000uf-8x12mm-chan-cam-dip_sp1612_ct17073.aspx","https://linhkienchatluong.vn/tu-dien_s406.aspx"
"Tụ nhôm 16V 680uF 6.3x12mm chân cắm DIP","2,400 đ","https://linhkienchatluong.vn/urltu-nhom---tu-hoa-dan/tu-nhom-16v-680uf-63x12mm-chan-cam-dip_sp1612_ct17072.aspx","https://linhkienchatluong.vn/tu-dien_s406.aspx"
"Tụ nhôm 16V 470uF 8x9mm chân cắm DIP","2,200 đ","https://linhkienchatluong.vn/urltu-nhom---tu-hoa-dan/tu-nhom-16v-470uf-8x9mm-chan-cam-dip_sp1612_ct17071.aspx","https://linhkienchatluong.vn/tu-dien_s406.aspx"
"Tụ nhôm 16V 330uF 6.3x9mm chân cắm DIP","1,800 đ","https://linhkienchatluong.vn/urltu-nhom---tu-hoa-dan/tu-nhom-16v-330uf-63x9mm-chan-cam-dip_sp1612_ct17070.aspx","https://linhkienchatluong.vn/tu-dien_s406.aspx"
"Tụ nhôm 16V 220uF 6.3x9mm chân cắm DIP","1,700 đ","https://linhkienchatluong.vn/urltu-nhom---tu-hoa-dan/tu-nhom-16v-220uf-63x9mm-chan-cam-dip_sp1612_ct17069.aspx","https://linhkienchatluong.vn/tu-dien_s406.aspx"
"Tụ nhôm 16V 100uF 5x9mm chân cắm DIP","1,400 đ","https://linhkienchatluong.vn/urltu-nhom---tu-hoa-dan/tu-nhom-16v-100uf-5x9mm-chan-cam-dip_sp1612_ct17068.aspx","https://linhkienchatluong.vn/tu-dien_s406.aspx"
"Tụ chống sét Varistor 14D201K 200V 14mm loại thường (100c)","125,000 đ","https://linhkienchatluong.vn/url14d---duong-kinh-14mm/tu-chong-set-varistor-14d201k-200v-14mm-loai-thuong-100c_sp1924_ct17002.aspx","https://linhkienchatluong.vn/tu-dien_s406.aspx"
"Tụ dán 0805 226-22uF 25V 20% (10c)","5,000 đ","https://linhkienchatluong.vn/urltu-dan-0805/tu-dan-0805-226-22uf-25v-20-10c_sp1608_ct16943.aspx","https://linhkienchatluong.vn/tu-dien_s406.aspx"
