file,group,w,h,left,right,top,bottom,min_margin
10-chuong-4-ket-qua-do-luong-hinh-4-23.png,10,700,500,0,8,0,6,0
10-chuong-4-ket-qua-do-luong-hinh-4-24.png,10,700,500,0,8,0,6,0
10-chuong-4-ket-qua-do-luong-hinh-4-25.png,10,700,500,0,8,0,6,0
10-chuong-4-ket-qua-do-luong-hinh-4-26.png,10,700,500,0,8,0,6,0
10-chuong-4-ket-qua-do-luong-hinh-4-27.png,10,700,500,0,8,0,6,0
10-chuong-4-ket-qua-do-luong-hinh-4-28.png,10,700,500,0,8,0,6,0
10-chuong-4-ket-qua-do-luong-hinh-4-29.png,10,700,500,0,8,0,6,0
10-chuong-4-ket-qua-do-luong-hinh-4-30.png,10,700,500,0,8,0,6,0
10-chuong-4-ket-qua-do-luong-hinh-4-31.png,10,700,500,0,8,0,6,0
10-chuong-4-ket-qua-do-luong-hinh-4-32.png,10,700,500,0,8,0,6,0
10-chuong-4-ket-qua-do-luong-hinh-4-38.png,10,700,500,0,8,0,6,0
01-chuong-1-gioi-thieu-hinh-1-1.png,01,1422,864,7,7,9,7,7
01-chuong-1-gioi-thieu-hinh-1-2.png,01,300,1325,7,8,7,7,7
01-chuong-1-gioi-thieu-hinh-1-3.png,01,476,1352,7,7,7,7,7
01-chuong-1-gioi-thieu-hinh-1-4.png,01,1209,306,7,15,17,18,7
01-chuong-1-gioi-thieu-hinh-1-5.png,01,356,970,7,7,7,7,7
02-chuong-2-phan-tich-hinh-2-1.png,02,1072,901,7,7,7,7,7
03-chuong-3-giai-phap-phan-cung-hinh-3-1.png,03,821,794,7,7,7,7,7
03-chuong-3-giai-phap-phan-cung-hinh-3-1a.png,03,356,681,7,7,7,7,7
03-chuong-3-giai-phap-phan-cung-hinh-3-3.png,03,1064,1003,7,8,9,7,7
03-chuong-3-giai-phap-phan-cung-hinh-3-3a.png,03,1064,1003,7,8,9,7,7
03-chuong-3-giai-phap-phan-cung-hinh-3-4.png,03,1044,861,7,11,7,7,7
03-chuong-3-giai-phap-phan-cung-hinh-3-4a.png,03,1794,1323,7,8,9,7,7
04-chuong-3-giai-phap-firmware-hinh-3-10.png,04,1036,1077,7,15,7,15,7
04-chuong-3-giai-phap-firmware-hinh-3-11.png,04,400,888,11,18,7,23,7
04-chuong-3-giai-phap-firmware-hinh-3-5.png,04,356,1205,7,7,7,7,7
04-chuong-3-giai-phap-firmware-hinh-3-6.png,04,1272,1294,7,7,7,7,7
04-chuong-3-giai-phap-firmware-hinh-3-7.png,04,933,1385,7,12,7,8,7
05-chuong-3-giai-phap-backend-hinh-3-12.png,05,1052,1154,7,8,7,7,7
05-chuong-3-giai-phap-backend-hinh-3-12a.png,05,2270,315,7,8,7,7,7
05-chuong-3-giai-phap-backend-hinh-3-13.png,05,741,1774,7,8,7,7,7
05-chuong-3-giai-phap-backend-hinh-3-14.png,05,708,1072,7,15,7,18,7
06-chuong-3-giai-phap-frontend-hinh-3-15a.png,06,473,1007,7,7,7,7,7
06-chuong-3-giai-phap-frontend-hinh-3-16.png,06,356,1172,7,7,7,7,7
06-chuong-3-giai-phap-frontend-hinh-3-17.png,06,946,794,7,7,7,7,7
06-chuong-3-giai-phap-frontend-hinh-3-18.png,06,750,967,7,8,7,7,7
06-chuong-3-giai-phap-frontend-hinh-3-19.png,06,786,1114,7,8,7,7,7
06-chuong-3-giai-phap-frontend-hinh-3-19a.png,06,820,967,7,8,7,7,7
06-chuong-3-giai-phap-frontend-hinh-3-20.png,06,845,868,7,7,7,7,7
06-chuong-3-giai-phap-frontend-hinh-3-21.png,06,800,581,7,8,7,7,7
06-chuong-3-giai-phap-frontend-hinh-3-23.png,06,1115,1294,7,8,7,7,7
07-chuong-4-trien-khai-hardware-hinh-4-1.png,07,821,794,7,7,7,7,7
07-chuong-4-trien-khai-hardware-hinh-4-10.png,07,265,1154,7,7,7,7,7
07-chuong-4-trien-khai-hardware-hinh-4-11.png,07,1081,1227,7,8,9,7,7
07-chuong-4-trien-khai-hardware-hinh-4-12.png,07,356,1220,7,7,7,7,7
07-chuong-4-trien-khai-hardware-hinh-4-13.png,07,356,681,7,7,7,7,7
07-chuong-4-trien-khai-hardware-hinh-4-14.png,07,356,795,7,7,7,7,7
07-chuong-4-trien-khai-hardware-hinh-4-15.png,07,912,762,7,8,7,7,7
07-chuong-4-trien-khai-hardware-hinh-4-16.png,07,356,680,7,7,7,7,7
07-chuong-4-trien-khai-hardware-hinh-4-1a.png,07,356,681,7,7,7,7,7
07-chuong-4-trien-khai-hardware-hinh-4-2.png,07,621,668,7,7,7,7,7
07-chuong-4-trien-khai-hardware-hinh-4-2a.png,07,621,668,7,7,7,7,7
07-chuong-4-trien-khai-hardware-hinh-4-3.png,07,643,974,7,8,7,7,7
07-chuong-4-trien-khai-hardware-hinh-4-4.png,07,945,688,7,7,7,7,7
07-chuong-4-trien-khai-hardware-hinh-4-5.png,07,996,734,7,8,7,7,7
07-chuong-4-trien-khai-hardware-hinh-4-6.png,07,1044,861,7,11,7,7,7
07-chuong-4-trien-khai-hardware-hinh-4-6a.png,07,650,762,7,7,7,7,7
07-chuong-4-trien-khai-hardware-hinh-4-7.png,07,292,941,7,7,7,7,7
