page,img_rect_count,img_area_ratio,center_offset_ratio,union_aspect
19,1,0.0313,0.0,11.109
23,1,0.0946,0.0,0.197
24,1,0.3158,0.0,0.659
25,1,0.0876,0.0,3.965
28,1,0.1747,0.0,0.364
33,1,0.1661,0.0,2.092
38,4,0.215,0.0,1.615
45,1,0.3341,0.0,1.04
47,1,0.3207,0.0,1.083
48,1,0.3207,0.0,1.083
49,4,0.143,0.0,2.429
55,1,0.1057,0.0,0.221
56,1,0.1209,0.0,2.873
57,1,0.1023,0.0,3.394
59,1,0.3432,0.0,1.012
62,1,0.3417,0.0,0.713
63,1,0.1254,0.0,2.77
68,1,0.1376,0.0,0.287
73,2,0.5391,0.0,0.644
77,1,0.2126,0.0,1.634
79,1,0.3225,0.0,0.673
82,1,0.1272,0.0,2.731
87,2,0.5051,0.0,0.688
88,1,0.1216,0.0,2.856
89,1,0.2718,0.0,1.278
90,1,0.2748,0.0,0.573
91,2,0.1954,0.0,1.778
93,1,0.3139,0.0,0.655
94,1,0.1676,0.0,2.073
95,1,0.2133,0.0,1.629
96,1,0.0757,0.0,4.588
97,2,0.2089,0.0,1.663
99,1,0.3433,0.0,0.716
100,1,0.3433,0.0,0.716
101,2,0.4704,0.0,0.739
103,1,0.2998,0.0,1.159
104,2,0.4915,0.0,0.707
105,2,0.3229,0.0,1.076
107,1,0.2928,0.0,0.611
108,1,0.0634,0.0,0.132
109,1,0.1345,0.0,2.583
112,2,0.123,0.0,2.824
113,1,0.1456,0.0,0.304
114,2,0.4389,0.0,0.792
125,1,0.1772,0.0,0.37
129,1,0.2472,0.2202,0.516
131,1,0.3396,0.0,0.709
133,1,0.2468,0.0,1.408
136,1,0.0979,0.0,3.549
142,1,0.227,0.0,1.53
147,1,0.2856,0.0,1.217
148,1,0.2718,0.0,1.278
149,1,0.2748,0.0,0.573
150,1,0.3139,0.0,0.655
151,1,0.3021,0.0,0.63
154,2,0.3352,0.0,1.036
158,1,0.2784,0.0,1.248
159,1,0.2557,0.0,0.533
160,1,0.0556,0.0,6.252
161,1,0.2482,0.0,1.4
162,1,0.2482,0.0,1.4
163,1,0.2482,0.0,1.4
165,1,0.2482,0.0,1.4
167,1,0.2482,0.0,1.4
168,1,0.2482,0.0,1.4
171,1,0.2482,0.0,1.4
172,1,0.2482,0.0,1.4
174,1,0.2482,0.0,1.4
175,1,0.2482,0.0,1.4
177,1,0.3139,0.0,0.655
178,1,0.189,0.0,1.838
179,1,0.2627,0.0,0.548
180,1,0.0284,0.0,12.238
181,1,0.1149,0.0,0.24
184,1,0.0816,0.0,4.257
217,1,0.0295,0.0,11.767
