page,images_on_page,largest_width_ratio,largest_height_ratio,largest_area_ratio,center_dx_ratio,center_dy_ratio,img_px_w,img_px_h,ppi_min_est,flag_too_small,flag_not_centered,flag_low_clarity,capture
19,1,0.5638,0.0367,0.0207,0.099,0.2814,4199,387,900.8,1,1,0,page-019.png
24,1,0.2432,0.8316,0.2022,0.2594,0.0,281,1359,139.8,1,1,0,page-024.png
25,1,0.5638,0.6007,0.3387,0.099,0.0303,1229,1852,263.7,1,1,0,page-025.png
26,1,0.5638,0.1052,0.0593,0.099,0.1425,1524,402,326.9,1,1,0,page-026.png
29,1,0.4405,0.8317,0.3663,0.1607,0.0,361,964,99.1,1,1,1,page-029.png
35,1,0.5638,0.1925,0.1085,0.099,0.2806,1711,826,367.1,1,1,0,page-035.png
40,2,0.5638,0.1103,0.0622,0.099,0.0876,3948,1092,846.9,1,1,0,page-040.png
46,1,0.5638,0.3487,0.1966,0.099,0.1455,830,726,178.1,1,1,0,page-046.png
48,2,0.5638,0.3671,0.207,0.099,0.177,1794,1652,384.9,1,1,0,page-048.png
49,2,0.5638,0.0688,0.0388,0.099,0.0979,6678,1152,1432.6,1,1,0,page-049.png
56,1,0.2679,0.8316,0.2228,0.247,0.0,384,1686,173.4,1,1,0,page-056.png
57,1,0.5638,0.1403,0.0791,0.099,0.1657,2605,917,558.8,1,1,0,page-057.png
58,1,0.5638,0.1197,0.0675,0.099,0.1743,1929,579,413.8,1,1,0,page-058.png
60,1,0.5638,0.3686,0.2078,0.099,0.2315,1220,1128,261.7,1,1,0,page-060.png
62,1,0.5638,0.4866,0.2743,0.099,0.0553,830,1013,178.1,1,1,0,page-062.png
64,1,0.5638,0.1457,0.0821,0.099,0.343,2140,782,459.1,1,1,0,page-064.png
68,1,0.348,0.8316,0.2894,0.207,0.0,416,1406,144.6,1,1,0,page-068.png
73,2,0.5638,0.5606,0.3161,0.099,0.1355,1361,1914,292.0,1,1,0,page-073.png
77,1,0.5638,0.2442,0.1377,0.099,0.0672,1724,1056,369.8,1,1,0,page-077.png
